sentence,jo,label
"“Our analysis suggests it is better to wait to see if these very large effects get replicated or not.”   Ioannidis has made headlines before with research showing that studies in medicine are often contradicted by later evidence, a phenomenon that has been referred to as “the decline effect.”   The new work, published in the Journal of the American Medical Association, pools more than 3,000 research reviews done by the Cochrane Collaboration, a prestigious international organization that evaluates medical evidence.",Journal of the American Medical Association,1
"The results show backup testing didn’t prevent any inappropriate use of antibiotics, the researchers reported in the Journal of General Internal Medicine.",Journal of General Internal Medicine,1
"After three months on the bean diet, study participants’ estimated 10-year risk of cardiovascular disease had fallen from 10.7 percent to 9.6 percent, according to findings in the Archives of Internal Medicine.",Archives of Internal Medicine,1
"In the new study, published in the Journal of General Internal Medicine, researchers analyzed data from 72 previous papers examining the reasons people died or were readmitted to the hospital, and found that age, race, employment status, living situation, education and income levels are just some of the factors that may play a role.",Journal of General Internal Medicine,1
"And in the end, only a handful of those symptoms were considered to be related to the study itself, Avins’s team reports in the Journal of Urology.",Journal of Urology,1
"Extra weight seemed especially to play a role in people’s chances of being hospitalized for diabetes, heart disease, chest pain, arthritis and asthma, the researchers reported in the International Journal of Obesity.",International Journal of Obesity,1
He and his colleagues report the findings in the American Journal of Medicine.,American Journal of Medicine,1
"Overall, 91 percent reported using allergy shots and 74 percent reported using the newer tablets, the study team reports in the Annals of Allergy, Asthma & Immunology.","Annals of Allergy, Asthma & Immunology",1
"The study was based on a small number of teams at each level of lacrosse and may not represent injury or concussion rates for all players nationwide, researchers note in Pediatrics.",Pediatrics,1
"In particular, male doctors are 40 percent more likely than members of the general public to die by suicide, and the risk to female doctors is more than doubled, they wrote in CMAJ.",CMAJ,1
"“People may be basically forced into retirement because they can’t work.”   The findings, reported in the International Journal of Obesity, are based on data from an annual government health survey of U.S. adults.",International Journal of Obesity,1
"The new report, published in the British obstetrics and gynecology journal BJOG, adds to the evidence.",BJOG,1
"And among five studies that tracked diabetes-free people over time, those with psoriasis were 27 percent more likely to develop it than study participants without psoriasis, the researchers reported this week in the Archives of Dermatology.",Archives of Dermatology,1
"The study, which appears in the Journal of Clinical Oncology, included families at six U.S. hospitals that run phase 1 pediatric cancer trials.",Journal of Clinical Oncology,1
"The new study, published in the American Journal of Sports Medicine, looked at more than a dozen other studies and found that female athletes who started so-called neuromuscular training routines by about age 14 were 72 percent less likely to hurt their knee ligaments than those who did not get the training until they were college-age.",American Journal of Sports Medicine,1
"On the flip side, cutting back on kids’ time asleep seems to make them more likely to cry, lose their temper and become frustrated, according to the researchers, who published their findings in the journal Pediatrics on Monday.",Pediatrics,1
The findings were published in the Archives of Dermatology.,Archives of Dermatology,1
"This suggests that surgeons need to rethink whether gallstone surgery is necessary in every case and reconsider their criteria for recommending operations, researchers write in The Lancet.",The Lancet,1
"Bian, an associate professor at South Carolina College of Pharmacy in Columbia, and his colleagues write in the Journal of Clinical Oncology that the system was put in place after the federal agency mandated colorectal cancer screenings for all average- and high-risk veterans in 2007.",Journal of Clinical Oncology,1
"His group’s preliminary investigation, published in the journal Arthritis & Rheumatism, is just the first step in understanding the link between eating cherries and gout risk, he told Reuters Health.",Arthritis & Rheumatism,1
"However, quitters who were older or who had earlier stages of lung cancer did not have an advantage over smokers, she and her colleagues report in the journal Cancer.",Cancer,1
"Women who’d had therapy also said they were bothered less by their hot flashes and night sweats - but had them just as often, according to findings published in the Journal of Clinical Oncology.",Journal of Clinical Oncology,1
"The new study, published this week in Pediatrics, covers eight children ranging in age from 22 months to 18 years who’d been diagnosed with necrotizing enterocolitis or other intestinal conditions requiring an IV line.",Pediatrics,1
"And for medications that get the fast-track “priority review” by the country’s health regulator, the chance that a serious safety concern will surface is as high as a third, said Dr. Joel Lexchin, whose analysis was published in the Archives of Internal Medicine.",Archives of Internal Medicine,1
"But, the authors note in the Archives of Internal Medicine, while HIV fell to 24th leading cause of death for whites, it rose to be the ninth leading cause of death for blacks.",Archives of Internal Medicine,1
"Researchers led by Dr. Anne Des Roches, of Hopital Sainte-Justine in Montreal, report the findings in The Journal of Allergy and Clinical Immunology.",The Journal of Allergy and Clinical Immunology,1
"The findings, reported in The American Journal of Cardiology, are based on 476 patients who either arrived at the Columbia ER or were transferred to the hospital from a nearby center.",The American Journal of Cardiology,1
"Elevated tau levels found in some concussed former athletes were associated with signs of damage to brain-cell connection bundles on brain scans and with poorer performance on cognitive tests, the study team reports in Neurology.",Neurology,1
"Saying “Lentils will help you run faster,” for instance, encourages preschoolers to understand the benefits and pick the foods they want, the study authors write in the Journal of Nutrition Education and Behavior.",Journal of Nutrition Education and Behavior,1
"The new study, published in the European Respiratory Journal, is the first to test the benefits of exercise in this group of patients, McNamara said.",European Respiratory Journal,1
"The results, reported in the journal Addiction, suggest that more people may enroll in smoking cessation programs if their governments or insurance companies offer to pay for the therapies and medications, according to the study’s authors.",Addiction,1
"That compared with just under nine percent of less-stressed patients, the researchers report in the Journal of the American College of Cardiology.",Journal of the American College of Cardiology,1
"And the women who had a hysterectomy with ovary removal put on more pounds than those who didn’t have surgery or only had their uterus out, the researchers reported in the International Journal of Obesity.",International Journal of Obesity,1
"There wasn’t much of a difference in people’s walking frequency based on the amount of parkland within a quarter-mile of their homes, the researchers reported in the International Journal of Behavioral Nutrition and Physical Activity.",International Journal of Behavioral Nutrition and Physical Activity,1
"The researchers, who published their results in the Journal of the American Geriatrics Society, collected medical and prescription information from more than 9,500 Medicare beneficiaries who had survived a heart attack.",Journal of the American Geriatrics Society,1
"They were twice as likely to die early as were non-smokers, according to findings published in the Journal of the American College of Cardiology.",Journal of the American College of Cardiology,1
"For the new research, published in the British Journal of Dermatology, Dr. Joseph J. Keller from Taipei Medical University and his colleague turned to a database of Taiwan’s national health system.",British Journal of Dermatology,1
"The findings, which appear in the journal Pediatrics, are based on nearly 3,100 young adults who were born in the early 1980s and followed to the age of 21.",Pediatrics,1
"For the new study, published in the American Journal of Clinical Nutrition, Djoussé’s group wanted to see if there was any connection between taking individual omega-3 fatty acids and one’s risk of heart failure.",American Journal of Clinical Nutrition,1
"Still, the UK team wrote in the Annals of Surgery, 85 percent of the process failures were preventable and three quarters of those that led to patient harm.",Annals of Surgery,1
"The study, reported in the journal Pediatrics, looked at doctors’ feelings on so-called school-located vaccination - one-day “clinics” where local health officials and school districts offer kids flu shots or other vaccinations.",Pediatrics,1
"And some of those “infections” might simply have been red swellings at the injection site, said Klein, whose findings are published in the Archives of Pediatrics & Adolescent Medicine.",Archives of Pediatrics & Adolescent Medicine,1
"MORE LIKELY STRESSED ABOUT WEIGHT   The findings, reported in the journal Pediatrics, are based on a survey of 1,241 Montreal high school students.",Pediatrics,1
"Swor’s team, whose results were published in the journal Resuscitation, was able to interview people at 30 of the 47 schools they located.",Resuscitation,1
"In the journal Obstetrics & Gynecology, Hansen calls the results “encouraging,” though she can’t explain them.",Obstetrics & Gynecology,1
"The findings, reported in the Journal of Allergy and Clinical Immunology, add to a mixed bag of results from research into whether probiotics can help ward off kids’ allergies.",Journal of Allergy and Clinical Immunology,1
"Seven years after surgery, 36 out of the 100 initial athletes were still playing soccer, the researchers reported in The American Journal of Sports Medicine.",The American Journal of Sports Medicine,1
"The new report, published in The New England Journal of Medicine, looked at the risk of getting in a crash and needing emergency room care in 100,075 people who were advised by their doctor not to drive.",The New England Journal of Medicine,1
"Most of the increase happened in the 1990s, researchers report in the Journal of the American College of Cardiology.",Journal of the American College of Cardiology,1
"The researchers pointed out in the Archives of Internal Medicine that they couldn’t tell whether doctors increased the dose of their patients’ current blood pressure medicine instead of prescribing a new one, however.",Archives of Internal Medicine,1
"All but one of the studies on ACL surgery found smokers tended to do worse afterward, the researchers report in The American Journal of Sports Medicine.",The American Journal of Sports Medicine,1
"Heart rate and energy expenditure were both higher with the active games than the sedentary comparison, Michael Morris and his colleagues reported in the Archives of Pediatrics & Adolescent Medicine.",Archives of Pediatrics & Adolescent Medicine,1
"The researchers, who published their results in the Archives of Internal Medicine, received surveys back from 843 students, representing about 68 percent of the invitations.",Archives of Internal Medicine,1
"New immigrants from less developed countries to urban areas like Toronto are at particular risk for falling into a sedentary lifestyle and falling prey to Western lifestyle diseases, Booth’s team notes in the journal Diabetes Care.",Diabetes Care,1
"The findings, which appear in the journal Pediatrics, are based on 4,833 kids seen over two years at two clinics connected to Lurie Children’s Hospital of Chicago.",Pediatrics,1
"The findings, reported in the Archives of Surgery, back up past research showing that pre-op MRIs do not cut reoperation rates.",Archives of Surgery,1
"Many of the highest lead levels were also found in soil surfaces, making sand and mulch the healthier surface choices for playgrounds, the study team writes in PLoS ONE.",PLoS ONE,1
"The devices, the group writes in Obstetrics & Gynecology, “are the best reversible methods for preventing unintended pregnancy, rapid repeat pregnancy, and abortion in young women.”   Eisenberg told Reuters Health that when providers don’t know much about the contraceptives, they should refer their teen patients to someone who does.",Obstetrics & Gynecology,1
"Shootings were more common in Southern states and larger hospitals - but other than that, “few patterns could be discerned to help profile vulnerable sites and situations,” researchers reported in the Annals of Emergency Medicine.",Annals of Emergency Medicine,1
"But otherwise, adding more milk, yogurt and cheese didn’t help people lose weight or keep it off, Hu and his colleagues reported in the American Journal of Clinical Nutrition.",American Journal of Clinical Nutrition,1
"NEARLY 100,000 STUDIED   The study, reported in the journal Circulation, is based on records from 99,187 Danish adults who suffered a first-time heart attack between 1997 and 2009.",Circulation,1
"For instance, playing sports more than four days per week was tied to a 35 percent increased risk of having a fracture, the group reports in The Journal of Pediatrics.",The Journal of Pediatrics,1
"The study, published in the American Journal of Sports Medicine, included 173 rowers and 242 cross-country skiers who’d been surveyed back in 2000.",American Journal of Sports Medicine,1
"What’s more, there was no drop in artery repairs and ruptures or overall deaths, they report in the Archives of Internal Medicine.",Archives of Internal Medicine,1
"Before starting the sessions, their health-related quality of life was comparable to kids with cancer, the researchers reported this week in Pediatrics.",Pediatrics,1
"According to findings they published in the Archives of Surgery, falls, car crashes and gun accidents were among the causes of kids’ injuries - with guns injuring a disproportionate number of black kids and falls happening more often in Asians.",Archives of Surgery,1
"Problems with so-called prospective memory may not only lead to embarrassment if a person forgets to meet with their friends, British researchers write in the journal Addiction.",Addiction,1
"And in one village, the proportion of mosquito bites inflicted outdoors rose, the researchers reported in the Journal of Infectious Diseases.",Journal of Infectious Diseases,1
"In the new study, published in the Journal of Clinical Oncology, researchers pitted the supplement against a placebo to see if it would help cancer patients with moderate or serious fatigue.",Journal of Clinical Oncology,1
"The study, reported in the European Heart Journal, looked at records from 2,571 patients treated for a more serious type of heart attack known as a ST-segment elevation myocardial infarction, or STEMI.",European Heart Journal,1
"Participants in the comparison, no-surgery groups didn’t lose any weight - and more of them developed diabetes than had improvements in blood sugar control, according to findings published Tuesday in the Journal of the American Medical Association.",Journal of the American Medical Association,1
"Most transgender students say schools have placed limits on their restroom or locker room use, the researchers note in Pediatrics.",Pediatrics,1
"The findings, reported in the journal Fertility and Sterility, do not prove that antioxidants directly improve sperm quality - or boost the chances of a healthy pregnancy.",Fertility and Sterility,1
"The lead author of the study, which is published in the Journal of General Internal Medicine, said that based on the results, she would not encourage women to look to slow breathing as a treatment for hot flashes.",Journal of General Internal Medicine,1
"The new findings, published in the American Heart Association’s journal Circulation, are based on data from the massive Nurses’ Health Study.",Circulation,1
"The researchers wrote in the American Journal of Sports Medicine this week that they can’t prove anything about FieldTurf, in particular, was behind the higher injury rate.",American Journal of Sports Medicine,1
"Most of that increase came from kids eating more fruit, not vegetables - though the researchers could not determine why that was the case, they reported in The American Journal of Clinical Nutrition.",The American Journal of Clinical Nutrition,1
"The new study, which appears in the journal Addiction Biology, included 1,071 smokers and 1,243 non-smokers who were free of mental health disorders - since those conditions may make a person both more likely to smoke and more vulnerable to sleep problems.",Addiction Biology,1
Health literacy was measured with questions such as “How confident are you filling out medical forms by yourself?” and “How often do you have problems learning about your medical condition because of difficulty understanding written information?”   The findings are published in the Journal of General Internal Medicine.,Journal of General Internal Medicine,1
"Robinson and her colleagues write in their report in The Journal of Pediatrics that because they didn’t directly observe the counseling, there could have been potential errors in how much the staff remembered giving.",The Journal of Pediatrics,1
"With the right interventions, those numbers could be much lower, suggest the new findings, published Wednesday in The Cochrane Library.",The Cochrane Library,1
"They were also 70 percent more likely to visit an ER, Weiser’s team reported in the Journal of General Internal Medicine.",Journal of General Internal Medicine,1
"MIGHT NOT BE EASY   The findings, reported in the Annals of Family Medicine, are based on data from an annual government survey that asks U.S. adults about their healthcare use.",Annals of Family Medicine,1
"REUTERS/Mark Blinch      The findings, reported in the Annals of Internal Medicine, sound logical.",Annals of Internal Medicine,1
"Rinaldi said her team, who published their findings in The Journal of Allergy and Clinical Immunology, used a strict definition of allergy, and only included children who had laboratory-confirmed peanut allergy, narrowing the group down to 171 kids.",The Journal of Allergy and Clinical Immunology,1
"The results, reported in the journal Pediatrics, are not surprising, the researchers say.",Pediatrics,1
"(Reuters Health) - Children who are adopted, whether domestically or internationally, have unique healthcare needs that should be assessed as soon as possible, according to new guidance from the American Academy of Pediatrics.",Pediatrics,1
"The association between plant-based diets and chronic kidney risk was especially pronounced for people with a normal weight at the start of the study, researchers report in the Clinical Journal of the American Society of Nephrology.",Clinical Journal of the American Society of Nephrology,1
"The overhead reaching movement squeezes the artery “like a tube of toothpaste,” the authors wrote in the study in The American Journal of Sports Medicine, potentially causing clots to shoot out and circulate down to the fingers.",The American Journal of Sports Medicine,1
"“Although there has been an increase in the percentage of schools reporting healthy practices, and the average (score) increased significantly, the magnitude of change was minimal and there is still much room for improvement,” wrote the authors in the Journal of the Academy of Nutrition and Dietetics.",Journal of the Academy of Nutrition and Dietetics,1
"And post-op complication rates were eight percent in the robotic group versus 11 percent in the standard surgery group, according to findings published in the journal European Urology.",European Urology,1
"In the new study, participants at high genetic risk had an approximately 17-percent chance of getting diabetes in the next three years, compared to a nine-percent chance for the lowest-risk group, the researchers reported in Diabetes Care.",Diabetes Care,1
"Blacks and whites were equally likely to test positive on a tox screen after a fatal accident - but Asians were much less likely to have drugs or alcohol in their system, and Native Americans much more likely, according to findings published in the journal Addiction.",Addiction,1
"But the results, published in the Journal of Urology, do give support to cranberry as a UTI fighter, according to a pediatric urologist not connected to the study.",Journal of Urology,1
"“There was an immediate drop in these inappropriate prescriptions,” said Dormuth, who led the new research, which was published in the CMAJ, the journal of the Canadian Medical Association.",CMAJ,1
"But the new findings, reported in the journal Cephalalgia, do not support that theory.",Cephalalgia,1
"1,700 FEWER STEPS PER DAY   In the study, published in the journal Ophthalmology, the threshold for having vision loss was being unable to see at least two out of 19 objects presented in various locations of their peripheral vision.",Ophthalmology,1
"Still, most of the doctors and nurses agreed that patients can play a role in preventing infections transmitted in the hospital, the researchers reported Monday in the Archives of Internal Medicine.",Archives of Internal Medicine,1
"There were only 25 cases in 2009 in which hospitals were reimbursed less than they would have been because of hospital-acquired UTIs related to catheters, Meddings and her team wrote this week in the Annals of Internal Medicine.",Annals of Internal Medicine,1
"His study, published Monday in the Archives of Internal Medicine, was funded by grants from the American Heart Association and the National Institutes of Health.",Archives of Internal Medicine,1
"Lotan and his colleagues write in their report in The Journal of Urology that “patients can be encouraged that a later operative start time does not equate to a worse outcome.”   The study could not explain why certain other procedures, such as colonoscopy, seem to be affected by the time of day they’re performed.",The Journal of Urology,1
"In a randomized, controlled trial, researchers showed that a six-session online training program produced modest improvements in caregiver anxiety and depression, according to results published in Health Psychology.",Health Psychology,1
"With a better understanding of the reasons why men don’t seek help, doctors could change the way they talk to their patients and help them seek treatment, the authors of a small study conclude in the International Journal of Impotence Research.",International Journal of Impotence Research,1
"“With this (study) we see that smoke exposure not only increases risk of hospitalization but it specifically makes the course of illness worse.”   The small study, published in The Journal of Pediatrics, does have limitations.",The Journal of Pediatrics,1
"The researchers, who published their study in BJOG: An International Journal of Obstetrics & Gynaecology, also examined whether C-sections were linked to the rise in preterm births.",BJOG: An International Journal of Obstetrics & Gynaecology,1
Rognmo and his colleagues write in their report in the medical journal Circulation that the differences in the number of cardiac arrests during moderate and high intensity exercise were too small to conclude whether high intensity exercise is more dangerous than less demanding workouts.,Circulation,1
"The findings, reported in the journal Diabetes Care, do not prove that universal drug coverage erased the income gap.",Diabetes Care,1
"The men in the new study, published in the American Journal of Clinical Nutrition, submitted hair and blood samples to measure their mercury and omega-3 levels, as well as information on their health and lifestyle.",American Journal of Clinical Nutrition,1
They published their findings in BJOG: An International Journal of Obstetrics and Gynaecology.,BJOG: An International Journal of Obstetrics and Gynaecology,1
Gates and his colleagues wrote in the journal Addiction that there’s already evidence to support in-person talk therapy for marijuana dependence.,Addiction,1
"Their study, published in the journal Addiction, is based on records from nearly 70,000 people in Scotland who had been treated for some type of substance abuse.",Addiction,1
"But the study, published in the journal Ophthalmology, is different in that the researchers had 34 patients undergo LASIK in one eye and PRK in the other.",Ophthalmology,1
"Despite that limitation, researchers, writing in the British Journal of Urology International, recommend that hospitals and doctors use similar “decision aids” to help patients reach a decision.",British Journal of Urology International,1
"OTHER FACTORS   However, the new findings, published in the American Journal of Clinical Nutrition, cannot prove that sugary drinks cause preterm births.",American Journal of Clinical Nutrition,1
"His neck felt stiff, his back hurt and he vomited intermittently, according to the CDC report, which was published in the journal Clinical Infectious Diseases.",Clinical Infectious Diseases,1
"There were no deaths, no device failures and no heart rhythm disturbances in any of the patients, according to the study, which was published in the American Journal of Cardiology.",American Journal of Cardiology,1
Sheffield and her colleagues report the findings in the journal Obstetrics & Gynecology.,Obstetrics & Gynecology,1
"The progress suggests that such systematic screening helps catch more cases of child abuse, researchers report in the journal Pediatrics.",Pediatrics,1
"But that doesn’t appear to be the case, according to the new research, published in the Archives of Internal Medicine.",Archives of Internal Medicine,1
"All were generally low-quality, the team reports in the journal Pediatrics.",Pediatrics,1
"According to the study, published in Archives of Facial Plastic Surgery, there were 19 infections in total, and all of them occurred with the plastic implants.",Archives of Facial Plastic Surgery,1
"Hammerness, who has ties to several manufacturers of ADHD medications, said no firm conclusions could be drawn from his study, which was published in The Journal of Pediatrics.",The Journal of Pediatrics,1
"For the new study, published in the Journal of Urology, researchers tapped into data from three clinical trials involving more than 3,000 men who got hormone treatment for prostate cancer that had spread to the bones and other body parts.",Journal of Urology,1
"The effect is especially noticeable in neighborhoods with fewer pharmacies, including rural and lower-income areas, and when the local pharmacy was not part of a chain or network, the study authors note in JAMA Network Open.",JAMA Network Open,1
"“It is also possible that the ups and downs of blood glucose from diabetes itself causes wear-and-tear on body systems, making people more vulnerable to depression and other emotional difficulties.”   Less than one-quarter of teens with type 1 diabetes manage to keep their blood sugar within a healthy range, the researchers note in Pediatrics.",Pediatrics,1
"In a letter published in the journal Wilderness & Environmental Medicine, Dr. Gerard Flaherty and Michael Smith, both from the National University of Ireland Galway, discuss how cell phones could be used to transmit verbal safety warnings to users who are about to take photographs in dangerous locations, such as the edge of a cliff.",Wilderness & Environmental Medicine,1
"Older adults accounted for 37 percent of all pedestrian deaths in 2009, according to results published in the Journal of the American Geriatrics Society.",Journal of the American Geriatrics Society,1
"For its study, published in the journal Addiction, Taylor’s team combined the results from small clinical trials that tested the immediate effects of exercise on smokers’ cigarette cravings.",Addiction,1
"Those odds were heightened when a first-degree relative had died of heart problems before hitting 60, the researchers report in the Journal of the American College of Cardiology.",Journal of the American College of Cardiology,1
"Still, Schooling said in an email, “all in all, it would be best to avoid exposures that induce early puberty.”   But her team’s findings, reported in the journal Pediatrics, do not suggest cow’s milk is one of those exposures.",Pediatrics,1
"SOLVING THE PROBLEM   In The Journal of Urology, the researchers write that while the worse outcomes weren’t directly tied to the hospitals or surgeons, black men who went to high-volume hospitals and surgeons seemed less likely to have complications than those who went to less experienced ones.",The Journal of Urology,1
"That means 155 heart patients would have to get a stent instead of bypass surgery to prevent one stroke, Stone and his colleagues reported this week in the Journal of the American College of Cardiology.",Journal of the American College of Cardiology,1
"“It’s favorable in spite of these differences.”   The team, which reported its results in the New England Journal of Medicine, also found that a person’s starting body mass index - a measure of weight versus height - did not predict whether patients would develop type 2 diabetes.",New England Journal of Medicine,1
"The new research suggests using the tool doesn’t provide any ultimate cost benefits that would make the initial investment worth it, researchers reported this week in the Archives of Surgery.",Archives of Surgery,1
"The findings, published in the Canadian Medical Association Journal, come from only one province, but Tu said it’s likely the same trend is happening in the rest of Canada, as well as the U.S.   Heart failure is a chronic condition in which the heart cannot pump blood efficiently enough to meet the body’s demands - causing symptoms like fatigue, breathlessness and fluid buildup in the limbs.",Canadian Medical Association Journal,1
The researchers write in the Archives of Internal Medicine that there can be a few reasons people turn to specialists over family doctors for primary care.,Archives of Internal Medicine,1
"There was no link between applicants’ scores on medical licensing exams or their medical school recommendation letters and the post-residency assessments, the researchers reported in the Archives of Otolaryngology-Head & Neck Surgery.",Archives of Otolaryngology-Head & Neck Surgery,1
"Putting an Elmo sticker on the apples led 37 percent of kids to take fruit, the researchers reported this week in a letter to the Archives of Pediatrics & Adolescent Medicine.",Archives of Pediatrics & Adolescent Medicine,1
"The new findings, published in the Journal of the American Geriatrics Society, cannot prove that poor dental health can cause dementia.",Journal of the American Geriatrics Society,1
"The findings, reported in the Journal of the American Geriatrics Society, conflict with a U.S. study published just last month.",Journal of the American Geriatrics Society,1
"Among 9,383 seniors who had no extra financial support during the coverage gap, 135 died, according to findings published in the Journal of the American Geriatrics Society.",Journal of the American Geriatrics Society,1
"In total, there were 371 thyroid cancers diagnosed between 1958 and 2005 in about 105,000 atomic bomb survivors, according to findings published in the International Journal of Cancer.",International Journal of Cancer,1
"The study, published in the journal Resuscitation, looked at what hospitals call their “rapid response team.” They swoop in when a patient develops certain symptoms - like unusual chest pain or concerning changes in heart rate or breathing - that sometimes foretell cardiac arrest.",Resuscitation,1
"And that, according to the researchers in The Journal of Pediatrics, is - on average - 10 years after the survivors were diagnosed with their cancers.",The Journal of Pediatrics,1
"Roughly 1 percent of people have celiac disease, an autoimmune disorder that damages the small intestine if gluten is consumed, researchers note in the American Journal of Gastroenterology.",American Journal of Gastroenterology,1
"“We wanted to understand if adolescents with chronically painful conditions used social media (YouTube) to share their experiences and if they gain social support through posting.”    Comments left by viewers “revealed the crucial need of adolescents with chronic pain” for information, social support and emotional validation, Forgeron and colleagues report in The Clinical Journal of Pain.",The Clinical Journal of Pain,1
"Regardless of education, age, race, and sex, people are consuming too much sodium, said Cogswell, whose team published their findings in the American Journal of Clinical Nutrition.",American Journal of Clinical Nutrition,1
"COMPARING APPLES AND STATINS   Statins can achieve considerable cholesterol reductions too, but as Arjmandi and his colleagues point out in their report in the Journal of the Academy of Nutrition and Dietetics, such drugs cost billions of dollars every year in the U.S. and carry some side effects.",Journal of the Academy of Nutrition and Dietetics,1
"And it worked better than the natural beta-carotene in spinach, the researchers report in the American Journal of Clinical Nutrition.",American Journal of Clinical Nutrition,1
"Accuracy did vary widely based on the type of website, Moon’s team reports in The Journal of Pediatrics.",Journal of Pediatrics,1
"One-quarter of Americans surveyed in 2007-2008 said they’d had a diet drink in the past day, versus 19 percent in 1999-2000, the researchers report in the American Journal of Clinical Nutrition.",American Journal of Clinical Nutrition,1
"While fasting is compulsory in Islam, the researchers write in BJOG: An International Journal of Obstetrics and Gynaecology that pregnancy may be “a relative exemption if reasons for maternal/fetal hardship are suspected.”   Nonetheless, many pregnant women ask whether it’s OK to fast during Ramadan the study’s lead author, Dr. Anwar Nassar, told Reuters Health in an email.",BJOG: An International Journal of Obstetrics and Gynaecology,1
"But the results do suggest at least that having food stamps doesn’t encourage families with kids to buy more unhealthy drinks, according to the report in the August issue of the Journal of the Academy of Nutrition and Dietetics.",Journal of the Academy of Nutrition and Dietetics,1
"According to the report, published in the Journal of Pediatrics, cases of the most severe forms of CHD - including conditions like hypoplastic left heart syndrome, when the left side of the heart doesn’t develop properly - has held steady at around five per 10,000 births since 1990.",Journal of Pediatrics,1
"The exercise plan seemed to both treat and prevent problems, the researchers report in the British obstetrics journal BJOG.",BJOG,1
"To see how well recruiters follow ASRM’s guidelines, Klitzman and his colleagues, who published their findings in Fertility and Sterility, visited 102 websites recruiting egg donors.",Fertility and Sterility,1
"There were no signs that early detection was affected by the healthcare overhaul, either, according to the study, which was published in the journal Cancer.",Cancer,1
"“Sometimes patients have tics where they actually hurt themselves,” said Wilhelm, whose findings appear in the Archives of General Psychiatry.",Archives of General Psychiatry,1
"Hsu was not an author of the New England Journal of Medicine study, but was on the committee that looked at strokes and other serious side effects of the therapy.",New England Journal of Medicine,1
The authors note in their study in The Journal of Allergy and Clinical Immunology that the effect of pollen on asthma might change as climate shifts alter pollen production.,The Journal of Allergy and Clinical Immunology,1
"The findings, published in the Journal of the Academy of Nutrition and Dietetics, showed that people ate 48 grams more vegetables, on average, when they were offered a variety, compared to a single serving of just one type.",Journal of the Academy of Nutrition and Dietetics,1
"But in the journal European Urology, he and his colleagues say the better results with the robot could be due to higher surgical precision given the 3D magnification and wide range of movement of the machine.",European Urology,1
"Olfson and his colleagues, who published their work Monday in the Archives of General Psychiatry, found that for kids and teens, roughly 90 percent of the antipsychotic prescriptions written during office visits between 2005 and 2009 were “off label,” which means the drugs are being prescribed for something other than for what they’re approved.",Archives of General Psychiatry,1
"But one-third of these patients thought they had an annual stroke risk of 21 to 50 percent, and one in five of them thought their annual stroke risk was even higher, researchers report in Mayo Clinic Proceedings.",Mayo Clinic Proceedings,1
"REUTERS/Carlos Barria       Despite the many health benefits of running, the number of running-related injuries is on the rise and as many as 79 percent of runners report injuries in any given year, researchers note in Gait & Posture.",Gait & Posture,1
"The new analysis, published in the European Journal of Preventive Cardiology, found that parental smoking was significantly associated with risk of congenital heart defects in newborns, with an increased risk of 25 percent when mothers smoked while pregnant.",European Journal of Preventive Cardiology,1
"People who started out the study in excellent or good health were 62 percent more likely to die by year 10 when they had a poor sense of smell than when they had a keen nose, researchers report in the Annals of Internal Medicine.",Annals of Internal Medicine,1
"The researchers, who published their findings in the Canadian Medical Association Journal, found that, for the most part, the symptoms lasted just as long in the steroid group as they did in the placebo group, between seven and nine days.",Canadian Medical Association Journal,1
Their report is published in the Archives of Internal Medicine.,Archives of Internal Medicine,1
"“This pattern indicates that sweetened beverages did not displace other caloric beverages from children’s diets,” Cunningham and her colleagues write in the Journal of the Academy of Nutrition and Dietetics.",Journal of the Academy of Nutrition and Dietetics,1
"It’s not clear whether that rise reflects more women actually dying or just better identification of the women who do die from pregnancy-related complications, the researchers reported in Obstetrics & Gynecology.",Obstetrics & Gynecology,1
"The new research, reported in the journal Headache, involved 27 adults with migraines and the same number of headache-free adults the same age.",Headache,1
"In their latest report, published in the medical journal Obstetrics & Gynecology, the researchers went back through the medical records of all deliveries that had been scheduled between 37 and 39 weeks of pregnancy.",Obstetrics & Gynecology,1
The researchers wrote in the journal Arthritis Care & Research that there’s no consensus opinion on which drugs are best for which rheumatoid arthritis patients.,Arthritis Care & Research,1
"That was up from just under four percent in 2007, according to findings published in the journal Fertility and Sterility.",Fertility and Sterility,1
"The new study, reported in the journal Arthritis Care & Research, looked at a broader swath of Americans.",Arthritis Care & Research,1
Dr. Giovanna Tropeano and colleagues at Catholic University of the Sacred Heart in Rome report the findings in the journal Obstetrics & Gynecology.,Obstetrics & Gynecology,1
"The findings, reported in the American Journal of Medicine, highlight the limits of “observational” studies.",American Journal of Medicine,1
"Lockey and his colleagues, who published their work as a letter to the Journal of Allergy and Clinical Immunology, write that a study published last year found only 40 percent of teens and adults and 60 percent of children in California refilled their prescriptions over a six-year period.",Journal of Allergy and Clinical Immunology,1
"Anxious parents bring babies to the ER for all kinds of things that could go either way like goopy eyes, concerns about how the stump from the cut umbilical cord looks, vomiting, strange looking stool, irregular breathing, and jerky or unusual body movements, doctors write in the American Journal of Emergency Medicine.",American Journal of Emergency Medicine,1
"And at about 145 compressions per minute, depth got “unacceptably low,” the researchers reported in Resuscitation.",Resuscitation,1
"The same might be true of the new study, which was published in the journal Headache.",Headache,1
